text,emotion
Ich fühle mich unsicher ziemlich,Angst
Der Computer startet gerade ziemlich,Neutral
Ich mache mir große Sorgen,Angst
Ich habe die Nase voll unglaublich,Wut
Das belastet mich ziemlich,Traurigkeit
Ich lese ein Buch unglaublich,Neutral
Das regt mich unglaublich auf wirklich,Wut
Ich bin sehr glücklich sehr,Freude
Der Computer startet gerade ziemlich,Neutral
Mir ist ganz mulmig unglaublich,Angst
Der Computer startet gerade extrem,Neutral
So ein Unsinn wirklich,Wut
Das regt mich unglaublich auf wirklich,Wut
Das macht mich unglaublich froh wirklich,Freude
Ich bereite das Abendessen vor extrem,Neutral
Ich ärgere mich darüber wirklich,Wut
Das verunsichert mich ziemlich,Angst
Ich bereite das Abendessen vor extrem,Neutral
Ich arbeite heute im Homeoffice,Neutral
Ich bin traurig über die Nachricht extrem,Traurigkeit
Der Zug fährt pünktlich ab sehr,Neutral
Mein Team hat gewonnen unglaublich,Freude
Ich arbeite heute im Homeoffice ziemlich,Neutral
Das Fenster ist geöffnet sehr,Neutral
Ich habe Angst zu versagen sehr,Angst
Ich bereite das Abendessen vor ziemlich,Neutral
Ich trinke einen Kaffee,Neutral
Ich fühle mich bedroht unglaublich,Angst
Ich bereite das Abendessen vor ziemlich,Neutral
Ich habe endlich eine Lösung gefunden ziemlich,Freude
Ich fahre zur Arbeit unglaublich,Neutral
Heute bin ich voller Energie sehr,Freude
Heute ist Montag extrem,Neutral
Der Supermarkt hat geöffnet wirklich,Neutral
Heute fällt mir alles schwer sehr,Traurigkeit
Mein Projekt war erfolgreich extrem,Freude
Das regt mich unglaublich auf sehr,Wut
Ich fühle mich leer extrem,Traurigkeit
Ich genieße diesen Moment wirklich,Freude
Ich bin nervös wegen der Prüfung extrem,Angst
Das macht mir Sorgen extrem,Angst
Heute fällt mir alles schwer,Traurigkeit
Ich bin ängstlich unglaublich,Angst
Ich fühle mich einsam,Traurigkeit
Das tut weh sehr,Traurigkeit
Mein Projekt war erfolgreich sehr,Freude
Ich bin stolz auf meine Leistung ziemlich,Freude
Heute bin ich voller Energie ziemlich,Freude
Ich habe Angst vor morgen unglaublich,Angst
Heute habe ich mehrere Termine unglaublich,Neutral
Das ist absolut unfair sehr,Wut
Ich bin enttäuscht unglaublich,Traurigkeit
Der Zug fährt pünktlich ab extrem,Neutral
Ich bin unglücklich sehr,Traurigkeit
Ich freue mich riesig auf den Urlaub sehr,Freude
Heute ist Montag extrem,Neutral
Das macht mich unglaublich froh unglaublich,Freude
Ich habe ein ungutes Gefühl extrem,Angst
Ich bin enttäuscht unglaublich,Traurigkeit
So etwas akzeptiere ich nicht wirklich,Wut
Ich bin enttäuscht und wütend unglaublich,Wut
Mir fehlt die Motivation ziemlich,Traurigkeit
Ich fühle mich bedroht wirklich,Angst
Mir geht es heute schlecht unglaublich,Traurigkeit
Ich bin bedrückt extrem,Traurigkeit
Der Termin wurde verschoben ziemlich,Neutral
Ich bin richtig verärgert sehr,Wut
Das macht mich traurig,Traurigkeit
Warum passiert so etwas immer wieder wirklich,Wut
Das macht mir Sorgen ziemlich,Angst
Heute bin ich voller Energie,Freude
Ich fühle mich einsam extrem,Traurigkeit
Heute bin ich niedergeschlagen,Traurigkeit
Das Wetter ist bewölkt wirklich,Neutral
Ich habe Zweifel,Angst
Das Wetter ist bewölkt sehr,Neutral
Ich mache mir große Sorgen extrem,Angst
Ich fühle mich großartig extrem,Freude
Ich fühle mich großartig sehr,Freude
Ich fühle mich verloren,Traurigkeit
Die Lampe ist eingeschaltet ziemlich,Neutral
Ich bin bedrückt unglaublich,Traurigkeit
Ich bin enttäuscht ziemlich,Traurigkeit
Ich bin außer mir vor Wut wirklich,Wut
Das verunsichert mich unglaublich,Angst
Ich hasse solche Situationen sehr,Wut
Ich bin erleichtert und glücklich extrem,Freude
Ich habe die Prüfung bestanden sehr,Freude
Ich arbeite heute im Homeoffice unglaublich,Neutral
Ich fühle mich allein extrem,Traurigkeit
Ich fühle mich großartig wirklich,Freude
Der Computer startet gerade ziemlich,Neutral
Mein Team hat gewonnen sehr,Freude
Ich fühle mich allein ziemlich,Traurigkeit
Das geht gar nicht sehr,Wut
Warum passiert so etwas immer wieder wirklich,Wut
Ich habe Angst vor morgen,Angst
Ich habe die Prüfung bestanden extrem,Freude
Ich bin erleichtert und glücklich unglaublich,Freude
Das ist absolut unfair sehr,Wut
Mir ist ganz mulmig ziemlich,Angst
Das macht mich wütend wirklich,Wut
Das macht mir Sorgen sehr,Angst
Die Lampe ist eingeschaltet ziemlich,Neutral
Ich bin unglücklich extrem,Traurigkeit
Ich fahre zur Arbeit sehr,Neutral
Ich trinke einen Kaffee unglaublich,Neutral
Das Wetter ist bewölkt sehr,Neutral
Ich habe die Prüfung bestanden sehr,Freude
Ich vermisse meine Freunde sehr,Traurigkeit
Ich habe Angst vor morgen unglaublich,Angst
Ich fühle mich einsam wirklich,Traurigkeit
Das hat mich verletzt,Traurigkeit
Ich bin bedrückt extrem,Traurigkeit
Das Paket ist angekommen unglaublich,Neutral
Ich bin stinksauer unglaublich,Wut
Heute bin ich niedergeschlagen unglaublich,Traurigkeit
Das Paket ist angekommen sehr,Neutral
Heute fällt mir alles schwer sehr,Traurigkeit
Heute ist Montag sehr,Neutral
Das Paket ist angekommen wirklich,Neutral
Mir geht es heute schlecht ziemlich,Traurigkeit
Ich lese ein Buch ziemlich,Neutral
Ich bin unglücklich,Traurigkeit
Das ist unerträglich sehr,Wut
Das Dokument wurde gespeichert ziemlich,Neutral
Ich habe Angst zu versagen wirklich,Angst
Ich bin richtig verärgert ziemlich,Wut
Ich gehe einkaufen extrem,Neutral
Ich fürchte mich vor dem Ergebnis extrem,Angst
Was passiert wenn etwas schiefgeht sehr,Angst
Mein Projekt war erfolgreich sehr,Freude
Alles erscheint sinnlos extrem,Traurigkeit
Ich könnte ausrasten sehr,Wut
Das Fenster ist geöffnet extrem,Neutral
Ich fühle mich allein sehr,Traurigkeit
Das tut weh wirklich,Traurigkeit
Ich ärgere mich darüber wirklich,Wut
Ich gehe später spazieren wirklich,Neutral
Der Zug fährt pünktlich ab unglaublich,Neutral
Ich könnte ausrasten unglaublich,Wut
Ich fühle mich einsam ziemlich,Traurigkeit
Das tut weh extrem,Traurigkeit
Das ist eine Frechheit unglaublich,Wut
Heute bin ich niedergeschlagen sehr,Traurigkeit
Das macht mir Sorgen,Angst
Der Termin wurde verschoben unglaublich,Neutral
Ich bin traurig über die Nachricht unglaublich,Traurigkeit
Das bringt mich auf die Palme extrem,Wut
So etwas akzeptiere ich nicht unglaublich,Wut
Mir fehlt die Motivation sehr,Traurigkeit
Mir geht es heute schlecht unglaublich,Traurigkeit
Ich vermisse meine Freunde sehr,Traurigkeit
Ich habe die Nase voll unglaublich,Wut
Ich ärgere mich darüber unglaublich,Wut
Das ist unerträglich extrem,Wut
Das regt mich unglaublich auf ziemlich,Wut
Der Computer startet gerade unglaublich,Neutral
Ich gehe einkaufen wirklich,Neutral
Ich bin angespannt sehr,Angst
Ich bin außer mir vor Wut extrem,Wut
Ich habe Angst zu versagen ziemlich,Angst
Ich vermisse meine Freunde sehr,Traurigkeit
Ich gehe später spazieren sehr,Neutral
Ich sitze am Schreibtisch extrem,Neutral
Ich fahre zur Arbeit wirklich,Neutral
Das macht mich traurig unglaublich,Traurigkeit
Ich arbeite heute im Homeoffice unglaublich,Neutral
Heute ist Montag unglaublich,Neutral
Heute bin ich niedergeschlagen wirklich,Traurigkeit
Der Zug fährt pünktlich ab sehr,Neutral
Ich habe Zweifel unglaublich,Angst
Der Computer startet gerade unglaublich,Neutral
Ich fühle mich bedroht wirklich,Angst
Ich bin am Boden zerstört unglaublich,Traurigkeit
Heute läuft alles perfekt unglaublich,Freude
Das macht mich wütend unglaublich,Wut
Alles erscheint sinnlos sehr,Traurigkeit
Heute bin ich voller Energie sehr,Freude
Das bereitet mir Kopfzerbrechen ziemlich,Angst
Das macht mich unglaublich froh unglaublich,Freude
Ich weiß nicht was passieren wird,Angst
Das macht mich zufrieden,Freude
Ich bin enttäuscht extrem,Traurigkeit
Der Termin wurde verschoben,Neutral
Ich arbeite heute im Homeoffice unglaublich,Neutral
Der Zug fährt pünktlich ab sehr,Neutral
Heute habe ich mehrere Termine unglaublich,Neutral
Ich bin bedrückt ziemlich,Traurigkeit
Das ist die beste Nachricht des Jahres unglaublich,Freude
Das macht mich nervös sehr,Angst
Das macht mich wütend,Wut
Mir fehlt die Motivation unglaublich,Traurigkeit
Ich fühle mich bedroht ziemlich,Angst
Alles erscheint sinnlos,Traurigkeit
Das verunsichert mich,Angst
Ich habe Zweifel sehr,Angst
Das Wetter ist bewölkt extrem,Neutral
Das ist absolut unfair ziemlich,Wut
Ich bin frustriert sehr,Wut
Ich bin am Boden zerstört ziemlich,Traurigkeit
Ich bin frustriert extrem,Wut
Ich bin unglücklich sehr,Traurigkeit
Der Zug fährt pünktlich ab unglaublich,Neutral
Ich bin stinksauer sehr,Wut
Ich freue mich riesig auf den Urlaub sehr,Freude
Ich bin unglücklich sehr,Traurigkeit
Heute bin ich niedergeschlagen sehr,Traurigkeit
Ich sitze am Schreibtisch wirklich,Neutral
Das macht mich traurig unglaublich,Traurigkeit
Ich bin bedrückt sehr,Traurigkeit
Ich weiß nicht was passieren wird unglaublich,Angst
Ich fühle mich verloren wirklich,Traurigkeit
Ich fühle mich leer ziemlich,Traurigkeit
Das ist die beste Nachricht des Jahres ziemlich,Freude
Heute ist Montag ziemlich,Neutral
Ich fühle mich verloren extrem,Traurigkeit
Ich fühle mich bedroht sehr,Angst
Ich habe Angst vor morgen sehr,Angst
Ich habe Angst zu versagen extrem,Angst
Endlich habe ich mein Ziel erreicht extrem,Freude
Das macht mich unglaublich froh sehr,Freude
Das hat mich verletzt extrem,Traurigkeit
Ich trinke einen Kaffee unglaublich,Neutral
Das ist absolut unfair,Wut
Das erfüllt mich mit Freude wirklich,Freude
Ich bin sehr glücklich unglaublich,Freude
Das Wetter ist bewölkt,Neutral
Ich könnte ausrasten,Wut
Ich mache mir große Sorgen ziemlich,Angst
Das hat mich verletzt unglaublich,Traurigkeit
Ich ärgere mich darüber unglaublich,Wut
Ich habe die Nase voll ziemlich,Wut
Das macht mir Sorgen unglaublich,Angst
Das tut weh wirklich,Traurigkeit
Ich bin frustriert ziemlich,Wut
Ich habe Angst vor der Zukunft ziemlich,Angst
Was passiert wenn etwas schiefgeht extrem,Angst
Das erfüllt mich mit Freude extrem,Freude
Die Nachricht hat mich begeistert wirklich,Freude
Ich bin angespannt sehr,Angst
Heute bin ich niedergeschlagen extrem,Traurigkeit
Ich habe die Prüfung bestanden wirklich,Freude
Das Dokument wurde gespeichert wirklich,Neutral
Das bereitet mir Kopfzerbrechen,Angst
Ich trinke einen Kaffee sehr,Neutral
Ich bereite das Abendessen vor extrem,Neutral
Die Nachricht hat mich begeistert wirklich,Freude
Ich gehe einkaufen unglaublich,Neutral
Heute ist ein fantastischer Tag ziemlich,Freude
Heute bin ich voller Energie unglaublich,Freude
Endlich habe ich mein Ziel erreicht,Freude
Was passiert wenn etwas schiefgeht ziemlich,Angst
Ich ärgere mich darüber extrem,Wut
Ich bin erleichtert und glücklich ziemlich,Freude
Ich bin unglücklich ziemlich,Traurigkeit
Ich bin stinksauer unglaublich,Wut
Ich bin am Boden zerstört ziemlich,Traurigkeit
Ich bin stolz auf meine Leistung sehr,Freude
Ich lese ein Buch ziemlich,Neutral
Das macht mich aggressiv wirklich,Wut
Mir fehlt die Motivation extrem,Traurigkeit
Das belastet mich ziemlich,Traurigkeit
Ich fühle mich verloren extrem,Traurigkeit
Warum passiert so etwas immer wieder sehr,Wut
Ich bin traurig über die Nachricht unglaublich,Traurigkeit
So etwas akzeptiere ich nicht sehr,Wut
Ich fühle mich verloren unglaublich,Traurigkeit
Das verunsichert mich wirklich,Angst
Ich habe ein ungutes Gefühl sehr,Angst
Der Supermarkt hat geöffnet unglaublich,Neutral
Ich gehe einkaufen ziemlich,Neutral
Das Fenster ist geöffnet unglaublich,Neutral
Ich bin richtig verärgert ziemlich,Wut
Das ist absolut unfair wirklich,Wut
Ich habe endlich eine Lösung gefunden extrem,Freude
Ich habe Zweifel unglaublich,Angst
Ich fühle mich verloren unglaublich,Traurigkeit
Ich habe Angst vor morgen unglaublich,Angst
Ich bin traurig über die Nachricht ziemlich,Traurigkeit
Ich bin angespannt ziemlich,Angst
Das Meeting beginnt um zehn Uhr extrem,Neutral
Das hat mich verletzt unglaublich,Traurigkeit
Ich genieße diesen Moment unglaublich,Freude
Das macht mich nervös unglaublich,Angst
Das ist unerträglich ziemlich,Wut
Ich freue mich riesig auf den Urlaub extrem,Freude
Die Lampe ist eingeschaltet extrem,Neutral
Ich gehe später spazieren extrem,Neutral
Das macht mich nervös extrem,Angst
Heute läuft alles perfekt,Freude
Das ist absolut unfair sehr,Wut
Das macht mich unglaublich froh extrem,Freude
Das hat mich verletzt ziemlich,Traurigkeit
Ich habe Angst zu versagen extrem,Angst
Ich bin nervös wegen der Prüfung unglaublich,Angst
Ich habe ein ungutes Gefühl ziemlich,Angst
So ein Unsinn extrem,Wut
Das ist die beste Nachricht des Jahres unglaublich,Freude
Das macht mich aggressiv sehr,Wut
Der Termin wurde verschoben wirklich,Neutral
Das macht mich nervös unglaublich,Angst
Ich bin außer mir vor Wut extrem,Wut
Das hat mich verletzt unglaublich,Traurigkeit
Das macht mich wütend sehr,Wut
Heute ist ein fantastischer Tag extrem,Freude
Das ist eine Frechheit ziemlich,Wut
Ich fühle mich allein,Traurigkeit
Das ist unerträglich extrem,Wut
Das geht gar nicht ziemlich,Wut
Ich habe endlich eine Lösung gefunden extrem,Freude
Der Zug fährt pünktlich ab,Neutral
Der Supermarkt hat geöffnet wirklich,Neutral
Heute bin ich niedergeschlagen ziemlich,Traurigkeit
Ich gehe einkaufen sehr,Neutral
Ich mache mir große Sorgen extrem,Angst
Ich gehe später spazieren,Neutral
Ich habe Angst zu versagen wirklich,Angst
Ich trinke einen Kaffee sehr,Neutral
Das macht mich wütend wirklich,Wut
Das macht mich nervös sehr,Angst
Ich lese ein Buch unglaublich,Neutral
Das macht mich nervös extrem,Angst
Ich fühle mich leer ziemlich,Traurigkeit
Ich bin erleichtert und glücklich wirklich,Freude
Ich fühle mich einsam sehr,Traurigkeit
Alles erscheint sinnlos wirklich,Traurigkeit
Ich bin angespannt sehr,Angst
Ich fühle mich leer ziemlich,Traurigkeit
Ich fühle mich unsicher,Angst
Ich bin stolz auf meine Leistung extrem,Freude
Ich bin angespannt extrem,Angst
Das macht mich nervös,Angst
Ich arbeite heute im Homeoffice unglaublich,Neutral
Mir fehlt die Motivation unglaublich,Traurigkeit
So etwas akzeptiere ich nicht sehr,Wut
Ich bin sehr glücklich unglaublich,Freude
Das ist eine Frechheit extrem,Wut
Ich habe ein ungutes Gefühl unglaublich,Angst
Ich habe endlich eine Lösung gefunden,Freude
Das geht gar nicht wirklich,Wut
Der Computer startet gerade wirklich,Neutral
Mein Team hat gewonnen wirklich,Freude
Das ist unerträglich sehr,Wut
Heute ist Montag sehr,Neutral
Das macht mir Sorgen unglaublich,Angst
Was passiert wenn etwas schiefgeht unglaublich,Angst
Ich bin außer mir vor Wut extrem,Wut
Ich bin unglücklich wirklich,Traurigkeit
Ich bin enttäuscht und wütend unglaublich,Wut
Ich könnte weinen extrem,Traurigkeit
Das erfüllt mich mit Freude,Freude
Ich könnte weinen extrem,Traurigkeit
Ich lese ein Buch ziemlich,Neutral
Das ist die beste Nachricht des Jahres wirklich,Freude
Ich ärgere mich darüber ziemlich,Wut
Heute läuft alles perfekt unglaublich,Freude
Ich habe ein ungutes Gefühl extrem,Angst
Das macht mich aggressiv,Wut
Ich bin stinksauer unglaublich,Wut
Das verunsichert mich extrem,Angst
Ich habe die Prüfung bestanden wirklich,Freude
Das macht mich traurig unglaublich,Traurigkeit
Ich bin sehr glücklich,Freude
Ich bin traurig über die Nachricht,Traurigkeit
Ich könnte vor Freude springen ziemlich,Freude
Ich genieße diesen Moment extrem,Freude
Das geht gar nicht,Wut
Das Fenster ist geöffnet,Neutral
Mir ist ganz mulmig wirklich,Angst
Ich genieße diesen Moment extrem,Freude
